acc	sub_clade
KX148265	Asian
KX148186	Cosmopolitan
KX148267	Asian
JN609295	Asian
JQ970483	Asian
JQ685921	Bats
AF369341	Bats
KX148102	Cosmopolitan
AF369343	Bats
JQ685944	Cosmopolitan
AF351854	Bats
KX148207	Cosmopolitan
KX148236	Africa-2
KX148100	Bats
KX148258	Asian
KX148249	Asian
AB383163	Bats
KX148261	Asian
KC595280	Cosmopolitan
AF369291	RAC-SK
JQ685899	Cosmopolitan
AF369357	Bats
JQ685977	Bats
AB981663	Asian
JQ685938	RAC-SK
AF351861	Bats
KX148134	Cosmopolitan
JQ685903	Bats
JQ686009	Bats
JQ685981	Arctic
KX148184	Cosmopolitan
AB383168	Bats
AF325480	Africa-2
KC252634	Asian
KC595283	Cosmopolitan
AY170413	Bats
KX148159	Cosmopolitan
KX148200	Cosmopolitan
KX148109	Bats
KX148130	Cosmopolitan
KX148216	Cosmopolitan
KX148160	Cosmopolitan
KX148122	Cosmopolitan
KX148166	Cosmopolitan
AF351850	Bats
JQ685970	Cosmopolitan
JQ685945	Bats
AF325489	Indian-Sub
AF351855	Bats
KX148121	Cosmopolitan
GU345747	Asian
JQ685949	Bats
JQ686008	Bats
KF726853	Asian
AF351860	Bats
KX148232	Africa-2
KX148241	Africa-2
AF351830	Bats
KX148124	Cosmopolitan
AY956319	Arctic
AB517659	Cosmopolitan
JQ685951	Bats
JQ685953	Bats
JQ944708	Cosmopolitan
JQ685915	Bats
KX148150	Cosmopolitan
KX148211	Cosmopolitan
AF325477	Cosmopolitan
GU647092	Asian
JQ686011	Bats
JQ686003	Bats
KX148245	Indian-Sub
KX148252	Asian
KX148149	Cosmopolitan
HE802676	Arctic
KX148127	Cosmopolitan
KX148191	Cosmopolitan
KX148135	Cosmopolitan
KX148215	Cosmopolitan
JQ685963	Bats
JQ685923	Bats
KX148220	Africa-3
KX148168	Cosmopolitan
AF369317	Arctic
JQ685982	Arctic
KX148197	Cosmopolitan
KX148237	Africa-2
EU311738	RAC-SK
KX148218	Africa-3
AF325485	Africa-3
JQ685927	Bats
JQ685971	Bats
JQ685993	RAC-SK
JQ685959	Bats
KX148177	Cosmopolitan
AF325483	Africa-2
AF351849	Bats
AF369285	Cosmopolitan
JQ685907	Bats
KX148208	Cosmopolitan
JQ686004	Bats
AF369289	Cosmopolitan
KX148113	Cosmopolitan
KX148171	Cosmopolitan
KX148263	Asian
HE802675	Arctic
AY352459	Arctic
KX148143	Cosmopolitan
KX148259	Asian
KX148139	Cosmopolitan
EU086146	Asian
JQ685939	Bats
KF154996	Arctic
JQ685926	Bats
KP723638	Cosmopolitan
AY138549	Indian-Sub
JQ685969	Bats
EU293111	Asian
KX148178	Cosmopolitan
KX148136	Cosmopolitan
JQ685931	Bats
KX148195	Cosmopolitan
KX148145	Cosmopolitan
EU643590	Asian
AY352487	Arctic
AF351835	Bats
JQ685900	Bats
KX148104	Cosmopolitan
JQ685957	Bats
FJ712196	Asian
KX148227	Arctic
JQ685991	RAC-SK
